loss,acc,val_loss,val_acc
,,,
5.014,0.7583,0.4944,0.8144
,,,
0.3435,0.8785,0.5027,0.8178
,,,
0.2171,0.9172,0.4711,0.8244
,,,
0.1661,0.9445,0.5654,0.8267
,,,
0.0969,0.9722,0.5118,0.8222
,,,
0.0599,0.9855,0.524,0.8356
,,,
0.0363,0.9943,0.5652,0.8222
,,,
0.0217,0.9978,0.5706,0.8389
,,,
0.0151,0.9987,0.5725,0.8333
,,,
0.0104,0.9992,0.5817,0.8367
,,,
0.0074,0.9997,0.6121,0.8389
,,,
0.0059,0.9998,0.6335,0.8367
,,,
0.0045,1,0.6377,0.8389
,,,
0.0036,1,0.6438,0.8411
,,,
0.003,1,0.6662,0.8411
,,,
0.0026,1,0.6688,0.84
,,,
0.0022,1,0.684,0.8378
,,,
0.0019,1,0.6878,0.8378
,,,
0.0016,1,0.6954,0.8367
,,,
0.0014,1,0.7056,0.8389
,,,
0.0013,1,0.7122,0.8356
,,,
0.0012,1,0.7229,0.8378
,,,
0.001,1,0.7337,0.8367
,,,
9.27E-04,1,0.734,0.8389
,,,
8.34E-04,1,0.7377,0.8411
,,,
7.51E-04,1,0.7513,0.8389
,,,
6.82E-04,1,0.7565,0.8389
,,,
6.28E-04,1,0.7643,0.8389
,,,
5.78E-04,1,0.7692,0.84
,,,
5.26E-04,1,0.7758,0.8389
,,,
4.82E-04,1,0.7831,0.8367
,,,
4.43E-04,1,0.7881,0.8411
,,,
4.06E-04,1,0.7948,0.8411
,,,
3.78E-04,1,0.8008,0.84
,,,
3.51E-04,1,0.8063,0.8422
,,,
3.25E-04,1,0.812,0.8411
,,,
3.03E-04,1,0.8168,0.84
,,,
2.79E-04,1,0.824,0.8422
,,,
2.60E-04,1,0.8312,0.84
,,,
2.43E-04,1,0.8367,0.8411
