loss,acc,val_loss,val_acc
,,,
0.5219,0.8957,1.0449,0.8144
,,,
0.2033,0.9495,0.9382,0.82
,,,
0.0838,0.9745,1.0677,0.8211
,,,
0.0421,0.9847,1.0773,0.8144
,,,
0.0125,0.9967,1.0442,0.8289
,,,
0.0044,0.9987,1.0824,0.8367
,,,
5.02E-04,1,1.0695,0.8378
,,,
2.42E-04,1,1.0911,0.8411
,,,
1.86E-04,1,1.099,0.8411
,,,
1.52E-04,1,1.1128,0.8389
,,,
1.25E-04,1,1.1215,0.8389
,,,
1.06E-04,1,1.1333,0.8378
,,,
9.13E-05,1,1.1396,0.8378
,,,
7.95E-05,1,1.1497,0.8389
,,,
6.94E-05,1,1.1554,0.8367
,,,
6.13E-05,1,1.1644,0.8389
,,,
5.46E-05,1,1.1748,0.8378
,,,
4.83E-05,1,1.1836,0.8367
,,,
4.29E-05,1,1.1868,0.8378
,,,
3.82E-05,1,1.195,0.8378
,,,
3.40E-05,1,1.2049,0.8367
,,,
3.06E-05,1,1.2094,0.8367
,,,
2.71E-05,1,1.2161,0.84
,,,
2.43E-05,1,1.2239,0.8389
,,,
2.19E-05,1,1.2322,0.84
,,,
1.95E-05,1,1.2381,0.84
,,,
1.76E-05,1,1.2487,0.8411
,,,
1.57E-05,1,1.2578,0.8411
,,,
1.41E-05,1,1.2645,0.8389
,,,
1.27E-05,1,1.2725,0.84
,,,
1.14E-05,1,1.2823,0.84
,,,
1.02E-05,1,1.2893,0.84
,,,
9.22E-06,1,1.2978,0.8411
,,,
8.25E-06,1,1.3078,0.8411
,,,
7.41E-06,1,1.3143,0.8411
,,,
6.64E-06,1,1.3235,0.8411
,,,
5.93E-06,1,1.3352,0.8378
,,,
5.39E-06,1,1.3422,0.84
,,,
4.78E-06,1,1.3523,0.8378
,,,
4.32E-06,1,1.3598,0.84
