loss,acc,val_loss,val_acc
,,,
0.3533,0.8665,0.5666,0.7967
,,,
0.3082,0.8862,0.5865,0.7789
,,,
0.3225,0.8782,0.6535,0.7689
,,,
0.3044,0.8858,0.5748,0.7889
,,,
0.2912,0.8875,0.6679,0.7411
,,,
0.2868,0.8905,0.6723,0.7611
,,,
0.2804,0.8967,0.6463,0.7567
,,,
0.2629,0.902,0.6274,0.77
,,,
0.2739,0.8978,0.6262,0.7656
,,,
0.2356,0.917,0.6045,0.7922
,,,
0.2367,0.9135,0.6436,0.7756
,,,
0.2289,0.9165,0.6629,0.7756
,,,
0.2244,0.9182,0.6236,0.7878
,,,
0.2297,0.9172,0.6484,0.7689
,,,
0.2214,0.9228,0.6518,0.7811
,,,
0.2293,0.9137,0.7046,0.7633
,,,
0.2015,0.9258,0.675,0.7656
,,,
0.1925,0.9317,0.6588,0.7856
,,,
0.2161,0.9207,0.6558,0.7844
,,,
0.179,0.9368,0.6657,0.7811
,,,
0.1573,0.9483,0.7016,0.7733
,,,
0.1631,0.9458,0.6743,0.7889
,,,
0.1631,0.9422,0.6817,0.7867
,,,
0.164,0.9445,0.7072,0.77
,,,
0.1505,0.9462,0.7194,0.7744
,,,
0.1427,0.9517,0.7649,0.7711
,,,
0.1376,0.9523,0.7358,0.7722
,,,
0.1321,0.954,0.8539,0.7489
,,,
0.116,0.9645,0.7236,0.7778
,,,
0.1287,0.9577,0.7871,0.7556
,,,
0.1321,0.955,0.7729,0.7644
,,,
0.1255,0.9593,0.7761,0.78
,,,
0.1122,0.9648,0.762,0.7844
,,,
0.0991,0.9718,0.8494,0.7689
,,,
0.1169,0.9615,0.8263,0.7756
,,,
0.1284,0.9533,0.8403,0.7522
,,,
0.0892,0.974,0.8342,0.7589
,,,
0.125,0.9568,0.8325,0.7833
,,,
0.1024,0.9663,0.8277,0.7822
,,,
0.0816,0.9758,0.8119,0.7667
